"mean_lon","mean_lat","year","month","day","date","chlo_date","matched_lat","matched_lon","matched_chl.m"
176.619432886108,32.6787283689241,2005,5,4,2005-05-04,"2005-05-16T12:00:00Z",32.6875,176.60417,0.14782657
175.860895212552,35.057734124614,2005,6,23,2005-06-23,"2005-06-16T12:00:00Z",35.0625,175.85417,NA
180.592617770427,40.4057593651645,2005,8,12,2005-08-12,"2005-08-16T12:00:00Z",40.395832,180.60417,0.27412018
183.510212411605,41.6848032419466,2005,10,1,2005-10-01,"2005-09-16T12:00:00Z",41.6875,183.52083,0.116138905
186.999746586372,37.3662285175569,2005,11,20,2005-11-20,"2005-11-16T12:00:00Z",37.354164,186.97917,0.13374697
193.315150592714,32.1379277609952,2006,1,9,2006-01-09,"2006-01-16T12:00:00Z",32.145832,193.3125,0.2578715
199.01578005525,32.1112577913518,2006,2,28,2006-02-28,"2006-02-16T12:00:00Z",32.104164,199.02083,0.21085373
196.367856222399,34.9122377945573,2006,4,19,2006-04-19,"2006-04-16T12:00:00Z",34.895832,196.35417,0.2512954
194.311561551928,34.6966077152962,2006,6,8,2006-06-08,"2006-06-16T12:00:00Z",34.6875,194.3125,0.086518265
192.85445935735,37.0917501942058,2006,7,28,2006-07-28,"2006-07-16T12:00:00Z",37.104164,192.85417,0.058471113
194.078757811627,41.7693290372383,2006,9,16,2006-09-16,"2006-09-16T12:00:00Z",41.770832,194.0625,0.16497941
192.044436165313,38.2279593047231,2006,11,5,2006-11-05,"2006-11-16T12:00:00Z",38.229164,192.0625,0.18066993
191.760026290605,34.7385780752043,2006,12,25,2006-12-25,"2006-12-16T12:00:00Z",34.729164,191.77083,0.15941802
195.063134981283,31.7396435280445,2007,2,13,2007-02-13,"2007-02-16T12:00:00Z",31.729164,195.0625,0.22010826
199.306553405532,34.3432418597437,2007,4,4,2007-04-04,"2007-04-16T12:00:00Z",34.354164,199.3125,0.60998315
205.605040455239,35.1277116865649,2007,5,24,2007-05-24,"2007-05-16T12:00:00Z",35.145832,205.60417,NA
210.280467921659,38.460826483342,2007,7,13,2007-07-13,"2007-07-16T12:00:00Z",38.479164,210.27083,0.12912399
215.722452964025,39.3374947731784,2007,9,1,2007-09-01,"2007-09-16T12:00:00Z",39.354164,215.72917,0.11217563
223.007301112593,35.8679284198372,2007,10,21,2007-10-21,"2007-10-16T12:00:00Z",35.854164,223.02083,0.091198884
225.638647308816,30.1854023141461,2007,12,10,2007-12-10,"2007-12-16T12:00:00Z",30.187498,225.64583,0.089533746
232.406424355302,28.328588352337,2008,1,29,2008-01-29,"2008-01-16T12:00:00Z",28.312498,232.39584,0.11569438
239.552975360004,25.9810780813157,2008,3,19,2008-03-19,"2008-03-16T12:00:00Z",25.979164,239.5625,0.10467255
245.871574770029,24.8366188324699,2008,5,8,2008-05-08,"2008-05-16T12:00:00Z",24.854164,245.85417,0.13497764
248.571044756,23.7241735345355,2008,6,27,2008-06-27,"2008-06-16T12:00:00Z",23.729164,248.5625,4.382173
245.7579071789,26.7817714626367,2008,8,16,2008-08-16,"2008-08-16T12:00:00Z",26.770832,245.77084,0.6756178
